dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,labels
0.029884,45,8,8,72,74,4238,63516,4852.094868,31,29,1118993.5,16773658.0,7,30,0.416408,0.405972,21.811133,21.52685,255,3843079123,1698016482,255,0.000783,0.000645,0.000138,59,858,0,0,7,0,3,1,1,2,0,0,0,4,5,0,-1
0.019084,45,8,8,16,18,1540,1644,1729.197315,31,29,605323.875,651016.5625,4,4,1.251267,1.095647,77.475818,2.42535,255,1659881194,1664046015,255,0.000569,0.000455,0.000114,96,91,0,0,23,0,2,2,1,2,0,0,0,3,10,0,-1
0.005553,45,8,8,22,24,2054,2478,8103.727509,31,29,2825139.5,3421573.75,6,6,0.25975,0.217565,15.593189,12.81149,255,341155798,341408272,255,0.000702,0.000544,0.000158,93,103,0,0,6,0,2,1,1,2,0,0,0,1,4,0,-1
1.129856,45,7,8,14,18,1684,10168,27.437125,31,29,11073.97754,68001.58594,3,5,86.885921,66.434235,8833.922411,7735.745977,255,1649820969,3796237599,255,0.000599,0.000471,0.000128,120,565,1,3924,1,0,5,1,1,3,0,0,1,3,2,0,-1
1e-05,15,8,4,2,0,898,0,100000.0025,254,0,359200000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,449,0,0,0,6,2,2,2,1,6,0,0,0,2,6,0,-1
0.013468,45,8,8,16,18,1540,1644,2450.252431,31,29,857736.875,922482.9375,4,4,0.877267,0.764235,60.941821,1.394063,255,1322330610,3473652302,255,0.000603,0.000473,0.00013,96,91,0,0,7,0,4,6,1,4,0,0,0,10,14,0,-1
0.351844,45,5,8,32,24,3728,5474,156.319272,31,29,82127.30469,119280.1328,7,7,11.349806,15.266435,718.27742,21.514514,255,1111221788,3261113288,255,0.000705,0.000591,0.000114,117,228,0,0,1,0,6,1,1,1,0,0,0,2,1,0,-1
0.039896,45,8,8,90,92,5174,83812,4536.795649,31,29,1026067.75,16623421.0,7,39,0.454977,0.436667,23.492634,23.334446,255,2225601256,2225920159,255,0.00106,0.000588,0.000472,57,911,0,0,5,0,2,1,1,1,0,0,0,3,2,0,-1
0.001114,15,12,7,2,2,146,178,2692.998243,31,29,524237.0,639138.25,0,0,0.008,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,1,1,2,0,0,0,4,2,0,-1
0.023904,45,8,8,60,62,3598,48710,5061.914435,31,29,1184404.25,16039157.0,7,24,0.406914,0.387333,23.396583,22.481332,255,3823419095,1674214684,255,0.0008,0.000655,0.000145,60,786,0,0,13,0,3,1,1,2,0,0,0,10,4,0,-1
